Interface-p1-vc1_int,,,1,IPV4,UDP,1500,,12.1.1.1,67500,112.1.1.1,67500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,L2TPv2,PPP,IPv4,UDP,,,,,,,,,,,20
Interface-p1-vc1_ext,,,0,IPV4,UDP,1500,,112.1.1.1,67500,12.1.1.1,67500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,L2TPv2,PPP,IPv4,UDP,,,,,,,,,,,20
IPv6+Hop-by-Hop+Destination header +tcp+eDonkey_int,,,1,IPV6,TCP,1500,,2002::1,11250000,2003::1,11250000,,,4665,4665,,,,,0,1,0,0,0,,,,EthernetII,IPv6,IPv6 Hop by Hop,IPv6 Destination,TCP,,,,,,,,,,,,,120
IPv6+Hop-by-Hop+Destination header +tcp+eDonkey_ext,,,0,IPV6,TCP,1500,,2003::1,11250000,2002::1,11250000,,,4665,4665,,,,,0,1,0,0,0,,,,EthernetII,IPv6,IPv6 Hop by Hop,IPv6 Destination,TCP,,,,,,,,,,,,,120
Max_Qos_Ignore_qos_int,,,1,IPV4,UDP,1500,,20.160.1.1,81225,20.170.1.1,81225,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
Max_Qos_Ignore_qos_ext,,,0,IPV4,UDP,1500,,20.170.1.1,81225,20.160.1.1,81225,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
ps_1518_ipv4_int,,,1,IPV4,,1518,,21.1.1.1,10000,21.2.1.1,10000,,,,,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
ps_1518_ipv4_ext,,,0,IPV4,,1518,,21.2.1.1,10000,21.1.1.1,10000,,,,,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
ps_1518_ipv6_int,,,1,IPV6,,1518,,1000:1000::1,10000,1000:2000::1,10000,,,,,,,,,,,,,,,,,EthernetII,IPv6,UDP,,,,,,,,,,,,,,,20
ps_1518_ipv6_ext,,,0,IPV6,,1518,,1000:2000::1,10000,1000:1000::1,10000,,,,,,,,,,,,,,,,,EthernetII,IPv6,UDP,,,,,,,,,,,,,,,20
ps_1522_inc_1_vlan_crc_ipv4_int,,,1,IPV4,,1522,,21.3.1.1,10000,21.4.1.1,10000,,,,,100,0,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
ps_1522_inc_1_vlan_crc_ipv4_ext,,,0,IPV4,,1522,,21.4.1.1,10000,21.3.1.1,10000,,,,,100,0,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
ps_1522_inc_1_vlan_crc_ipv6_int,,,1,IPV6,,1522,,1000:1100::1,10000,1000:1200::1,10000,,,,,100,0,,,,,,,,,,,EthernetII,IPv6,UDP,,,,,,,,,,,,,,,20
ps_1522_inc_1_vlan_crc_ipv6_ext,,,0,IPV6,,1522,,1000:1200::1,10000,1000:1100::1,10000,,,,,100,0,,,,,,,,,,,EthernetII,IPv6,UDP,,,,,,,,,,,,,,,20
ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv4_int,,,1,IPV4,UDP,1526,,21.5.1.1,10000,21.6.1.1,10000,,,1024,1024,1200,5,1201,1,,,,,,,,,EthernetII,IPv4,UDP,L2TPv2,PPP,IPv4,GRE,,,,,,,,,,,20
ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv4_ext,,,0,IPV4,UDP,1526,,21.6.1.1,10000,21.5.1.1,10000,,,1024,1024,1200,5,1201,1,,,,,,,,,EthernetII,IPv4,UDP,L2TPv2,PPP,IPv4,GRE,,,,,,,,,,,20
ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv6_int,,,1,IPV6,UDP,1526,,192.85.1.2,10000,192.0.0.1,10000,1000:1300::1,1000:1400::1,1024,1024,1200,5,1201,1,,,,,,,,,EthernetII,IPv6,UDP,L2TPv2,PPP,IPv4,GRE,,,,,,,,,,,20
ps_1526_complex_QinQ_GRE_L2TP_PPP_ipv6_ext,,,0,IPV6,UDP,1526,,192.85.1.2,10000,192.0.0.1,10000,1000:1400::1,1000:1300::1,1024,1024,1200,5,1201,1,,,,,,,,,EthernetII,IPv6,UDP,L2TPv2,PPP,IPv4,GRE,,,,,,,,,,,20
ps_1526_inc_2_vlans_QinQ_crc_ipv4_int,,,1,IPV4,,1526,,21.7.1.1,10000,21.8.1.1,10000,,,,,101,1,102,5,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
ps_1526_inc_2_vlans_QinQ_crc_ipv4_ext,,,0,IPV4,,1526,,21.8.1.1,10000,21.7.1.1,10000,,,,,101,1,102,5,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
ps_1526_inc_2_vlans_QinQ_crc_ipv6_int,,,1,IPV6,,1526,,1000:1500::1,10000,1000:1600::1,10000,,,,,101,1,102,5,,,,,,,,,EthernetII,IPv6,UDP,,,,,,,,,,,,,,,20
ps_1526_inc_2_vlans_QinQ_crc_ipv6_ext,,,0,IPV6,,1526,,1000:1600::1,10000,1000:1500::1,10000,,,,,101,1,102,5,,,,,,,,,EthernetII,IPv6,UDP,,,,,,,,,,,,,,,20
ps_9026_jumbo_QinQ_clsf_ipv4_int,,,1,IPV4,,9026,,21.9.1.1,10000,21.10.1.1,10000,,,,,100,2,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
ps_9026_jumbo_QinQ_clsf_ipv4_ext,,,0,IPV4,,9026,,21.10.1.1,10000,21.9.1.1,10000,,,,,100,2,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
ps_9026_jumbo_QinQ_clsf_ipv6_int,,,1,IPV6,,9026,,1000:1700::1,10000,1000:1800::1,10000,,,,,100,2,,,,,,,,,,,EthernetII,IPv6,UDP,,,,,,,,,,,,,,,20
ps_9026_jumbo_QinQ_clsf_ipv6_ext,,,0,IPV6,,9026,,1000:1800::1,10000,1000:1700::1,10000,,,,,100,2,,,,,,,,,,,EthernetII,IPv6,UDP,,,,,,,,,,,,,,,20
QoS_Min_QoS_pri1_int,,,1,IPV4,UDP,1500,,20.1.1.1,112500,20.10.1.1,112500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
QoS_Min_QoS_pri1_ext,,,0,IPV4,UDP,1500,,20.10.1.1,112500,20.1.1.1,112500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
QoS_Min_QoS_pri2_int,,,1,IPV4,UDP,1500,,20.41.1.1,112500,20.50.1.1,112500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
QoS_Min_QoS_pri2_ext,,,0,IPV4,UDP,1500,,20.50.1.1,112500,20.41.1.1,112500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
QoS_Min_QoS_pri3_int,,,1,IPV4,UDP,1500,,20.81.1.1,112500,20.90.1.1,112500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
QoS_Min_QoS_pri3_ext,,,0,IPV4,UDP,1500,,20.90.1.1,112500,20.81.1.1,112500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
QoS_Min_QoS_pri4_int,,,1,IPV4,UDP,1500,,20.121.1.1,112500,20.130.1.1,112500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
QoS_Min_QoS_pri4_ext,,,0,IPV4,UDP,1500,,20.130.1.1,112500,20.121.1.1,112500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
Subsribers_P_gold_BitTor_int,,,1,IPV4,TCP,1500,,60.0.0.1,20000,60.10.1.1,9000,,,6881,6881,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Subsribers_P_gold_BitTor_ext,,,0,IPV4,TCP,1500,,60.10.1.1,20000,60.0.0.1,9000,,,6881,6881,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Subsribers_P_gold_ftp_int,,,1,IPV4,TCP,1500,,60.0.0.1,20000,60.10.1.1,9000,,,22,22,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Subsribers_P_gold_ftp_ext,,,0,IPV4,TCP,1500,,60.10.1.1,20000,60.0.0.1,9000,,,22,22,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Subsribers_P_gold_skype_int,,,1,IPV4,UDP,1500,,60.0.0.1,20000,60.10.1.1,9000,,,12340,12340,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
Subsribers_P_gold_skype_ext,,,0,IPV4,UDP,1500,,60.10.1.1,20000,60.0.0.1,9000,,,12340,12340,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
Subsribers_P_silver_BitTor_int,,,1,IPV4,TCP,1500,,65.0.0.1,20000,60.20.1.1,9000,,,6881,6881,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Subsribers_P_silver_BitTor_ext,,,0,IPV4,TCP,1500,,60.20.1.1,20000,65.0.0.1,9000,,,6881,6881,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Subsribers_P_silver_ftp_int,,,1,IPV4,TCP,1500,,65.0.0.1,20000,60.20.1.1,9000,,,22,22,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Subsribers_P_silver_ftp_ext,,,0,IPV4,TCP,1500,,60.20.1.1,20000,65.0.0.1,9000,,,22,22,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Subsribers_P_silver_skype_int,,,1,IPV4,UDP,1500,,65.0.0.1,20000,60.20.1.1,9000,,,12340,12340,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
Subsribers_P_silver_skype_ext,,,0,IPV4,UDP,1500,,60.20.1.1,20000,65.0.0.1,9000,,,12340,12340,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
Tethering BG_int,,,1,IPV4,TCP,128,,110.1.1.1,22500,100.1.1.1,22500,,,1024,1024,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Tethering BG_ext,,,0,IPV4,TCP,128,,100.1.1.1,22500,110.1.1.1,22500,,,1024,1024,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Tethering-DNS_int,,,1,IPV4,UDP,128,,110.1.1.1,22500,100.1.1.1,22500,,,1024,53,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
Tethering-DNS_ext,,,0,IPV4,UDP,128,,100.1.1.1,22500,110.1.1.1,22500,,,53,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
Tethering-HTTP_int,,,1,IPV4,TCP,128,,110.1.1.1,22500,100.1.1.1,22500,,,1024,80,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Tethering-HTTP_ext,,,0,IPV4,TCP,128,,100.1.1.1,22500,110.1.1.1,22500,,,80,1024,,,,,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Time_half_quarter_int,,,1,IPV4,UDP,512,,80.1.1.1,112500,80.10.1.1,112500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
Time_half_quarter_ext,,,0,IPV4,UDP,512,,80.10.1.1,112500,80.1.1.1,112500,,,1024,1024,,,,,,,,,,,,,EthernetII,IPv4,UDP,,,,,,,,,,,,,,,20
Tos_Tos10-to-1_vc(QinQ)_int,,,1,IPV4,TCP,1024,,70.64.1.1,67500,70.70.1.1,67500,,,21,21,100,0,1750,0,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Tos_Tos10-to-1_vc(QinQ)_ext,,,0,IPV4,TCP,1024,,70.70.1.1,67500,70.64.1.1,67500,,,21,21,100,0,1750,0,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Tos_Tos20-to-45_vc(QinQ)_int,,,1,IPV4,TCP,1024,,70.0.1.1,67500,70.10.1.1,67500,,,6881,6881,2501,0,1500,0,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
Tos_Tos20-to-45_vc(QinQ)_ext,,,0,IPV4,TCP,1024,,70.10.1.1,67500,70.0.1.1,67500,,,6881,6881,2501,0,1500,0,0,1,0,0,0,,,,EthernetII,IPv4,TCP,,,,,,,,,,,,,,,120
UDS_HTTP_GET_int,,,1,IPV4,TCP,1500,,90.1.1.1,28800,90.10.1.1,28800,,,1024,80,,,,,1,1,1,0,0,,,474554202F686F6D652F302C373334302C4C2D382C30302E68746D6C20485454502F312E310D0A486F73743A207777772E796E65742E636F2E696C0D0A436F6E6E656374696F6E3A204B6565702D416C6976650D0A557365722D4167656E743A204D6F7A696C6C612F352E30202857696E646F77733B20553B2057696E646F7773204E5420352E313B20656E2D55533B2072763A312E382E312E3229204765636B6F2F32303037303231392046697265666F782F322E302E302E320D0A4163636570743A202A2F2A0D0A4163636570742D4C616E67756167653A20656E2D75730D0A4163636570742D456E636F64696E673A20677A69702C206465666C6174652C20636F6D70726573730D0A782D53706972656E742D49643A2030302D30302D30302D30302D30302D30302030333730343630300D0A0D0A,EthernetII,IPv4,TCP,Custom,,,,,,,,,,,,,,120
UDS_HTTP_GET_ext,,,0,IPV4,TCP,1500,,90.10.1.1,28800,90.1.1.1,28800,,,80,1024,,,,,1,1,1,0,0,,,474554202F686F6D652F302C373334302C4C2D382C30302E68746D6C20485454502F312E310D0A486F73743A207777772E796E65742E636F2E696C0D0A436F6E6E656374696F6E3A204B6565702D416C6976650D0A557365722D4167656E743A204D6F7A696C6C612F352E30202857696E646F77733B20553B2057696E646F7773204E5420352E313B20656E2D55533B2072763A312E382E312E3229204765636B6F2F32303037303231392046697265666F782F322E302E302E320D0A4163636570743A202A2F2A0D0A4163636570742D4C616E67756167653A20656E2D75730D0A4163636570742D456E636F64696E673A20677A69702C206465666C6174652C20636F6D70726573730D0A782D53706972656E742D49643A2030302D30302D30302D30302D30302D30302030333730343630300D0A0D0A,EthernetII,IPv4,TCP,Custom,,,,,,,,,,,,,,120
