Line name,Pipe name,VC name,Qos,DosOrDrop,Jambo,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name,,Traffic Stream name,Traffic Stream name,Traffic Stream name,Traffic Stream name
Subscribers,p_gold,FTP,0,0,0,Subsribers_P_gold_ftp_int,Subsribers_P_gold_ftp_ext,,,,,,,,,,,,,,,,,,
Subscribers,p_gold,BitTorrent,0,0,0,Subsribers_P_gold_BitTor_int,Subsribers_P_gold_BitTor_ext,,,,,,,,,,,,,,,,,,
Subscribers,p_gold,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
Subscribers,p_silver,,0,0,0,,,,,,,,,,,,,,,,,,,,
Subscribers,p_silver,Skype,0,0,0,Subsribers_P_silver_skype_int,Subsribers_P_silver_skype_ext,,,,,,,,,,,,,,,,,,
Subscribers,p_silver,FTP,0,0,0,Subsribers_P_silver_ftp_int,Subsribers_P_silver_ftp_ext,,,,,,,,,,,,,,,,,,
Subscribers,p_silver,BitTorrent,0,0,0,Subsribers_P_silver_BitTor_int,Subsribers_P_silver_BitTor_ext,,,,,,,,,,,,,,,,,,
Subscribers,p_silver,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
Subscribers,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
Subscribers,Fallback,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
Tos,,,0,0,0,,,,,,,,,,,,,,,,,,,,
Tos,Tos10-to-1,,0,0,0,,,,,,,,,,,,,,,,,,,,
Tos,Tos10-to-1,Fallback,0,0,0,Tos_Tos10-to-1_vc(QinQ)_int,Tos_Tos10-to-1_vc(QinQ)_ext,,,,,,,,,,,,,,,,,,
Tos,Tos20-to-45,,0,0,0,,,,,,,,,,,,,,,,,,,,
Tos,Tos20-to-45,Fallback,0,0,0,Tos_Tos10-to-1_vc(QinQ)_int,Tos_Tos10-to-1_vc(QinQ)_ext,,,,,,,,,,,,,,,,,,
Tos,Fallback,,0,0,0,,,,,,,,,,,,,,,,,,,,
Tos,Fallback,Fallback,0,0,0,,,,,,,,,,,,,,,,,,,,
TIME,,,0,0,0,,,,,,,,,,,,,,,,,,,,
